Term,Description
SULFATHIAZOLE,"A sulfathiazole compound that is used as a short-acting anti-infective agent. It is no longer commonly used systemically due to its toxicity, but may still be applied topically in combination with other drugs for the treatment of vaginal and skin infections, and is still used in veterinary medicine.
    "
MIVACURIUM,"An isoquinoline derivative that is used as a short-acting non-depolarizing agent.
    "
EUCALYPTOL,"A monoterpene and cyclohexanol derivative that is the major component of EUCALYPTUS OIL. It is used in mouthwash, insect repellent, and as a cough suppressant, and also is widely used as a flavoring agent and solvent. It has antimicrobial properties.
    "
MARAVIROC,"A cyclohexane and triazole derivative that acts as an antagonist of the CCR5 RECEPTOR. It prevents infection by HIV-1 virus strains which use CCR5 as a co-receptor for membrane fusion and cellular entry.
    "
REBOXETINE,"A morpholine derivative that is a selective and potent noradrenaline reuptake inhibitor; it is used in the treatment of DEPRESSIVE DISORDER.
    "
NIVOLUMAB,"A genetically engineered, fully humanized immunoglobulin G4 monoclonal antibody that binds to the PD-1 RECEPTOR, activating an immune response to tumor cells. It is used as monotherapy or in combination with IPILIMUMAB for the treatment of advanced malignant MELANOMA. It is also used in the treatment of advanced or recurring NON-SMALL CELL LUNG CANCER; RENAL CELL CARCINOMA; and HODGKIN'S LYMPHOMA.
    "
FAMCICLOVIR,"An aminopurine derivative and prodrug of penciclovir which is a competitive inhibitor of herpes simplex 2 DNA polymerase. It is used to treat HERPES SIMPLEX VIRUS INFECTION.
    "
THYMALFASIN,"A thymus hormone polypeptide found in thymosin fraction 5 (a crude thymus gland extract) but now produced by synthesis. It is used alone or with interferon as an immunomodulator for the treatment of CHRONIC HEPATITIS B and HEPATITIS C. Thymalfasin is also used for the treatment of chemotherapy-induced immunosuppression, and to enhance the efficacy of influenza and hepatitis B vaccines in immunocompromised patients.
    "
VILDAGLIPTIN,"A pyrrolidine-carbonitrile derivative and potent inhibitor of DIPEPTIDYL PEPTIDASE 4 that is used in the treatment of TYPE 2 DIABETES MELLITUS.
    "
TOLVAPTAN,"A benzazepine derivative and selective VASOPRESSIN V2 RECEPTOR antagonist that is used to treat euvolemic and hypervolemic HYPONATREMIA. It is also used in the treatment of rapidly progressing AUTOSOMAL DOMINANT POLYCYSTIC KIDNEY DISEASE to slow the rate of cyst development and renal insufficiency.
    "
FOMEPIZOLE,"A pyrazole and competitive inhibitor of ALCOHOL DEHYDROGENASE that is used for the treatment of poisoning by ETHYLENE GLYCOL or METHANOL.
    "
TRABECTEDIN,"A complex structure that includes isoquinolines joined by a cyclic ester; it is a DNA-binding agent and guanine N2 alkylator derived from the marine tunicate, Ecteinascidia turbinata. Trabectedin is used for the treatment of advanced soft-tissue SARCOMA, after failure of ANTHRACYCLINES or IFOSFAMIDE drug therapy.
    "
ICODEXTRIN,"A glucan that is structurally related to maltodextrin, with more than 85% of its molecules having molecular weights between 1640 and 45 000 Daltons (Da), and a weight-average molecular weight of about 20 000 Da; it is used in dialysis fluids as an alternative to glucose-based solutions, and to reduce adhesions after gynecological or abdominal surgery. It has also been used as a vehicle for drugs given via the peritoneal cavity.
    "
APREPITANT,"A morpholine neurokinin-1 (NK1) receptor antagonist that is used in the management of nausea and vomiting caused by DRUG THERAPY, and for the prevention of POSTOPERATIVE NAUSEA AND VOMITING.
    "
BEXAROTENE,"A rexinoid (an RXR-binding ligand), tetrahydronaphthalene derivative and RETINOID X RECEPTOR antagonist that is used in the treatment of CUTANEOUS T-CELL LYMPHOMA.
    "
ANIDULAFUNGIN,"Echinocandin antifungal agent that is used in the treatment of CANDIDEMIA and CANDIDIASIS.
    "
ETORICOXIB,"A sulfone and pyridine derivative that acts as a cyclooxygenase-2 inhibitor. It is used as a NSAID for the treatment of pain associated with RHEUMATOID ARTHRITIS and ANKYLOSING SPONDYLITIS. It is also used for the short-term treatment of moderate postoperative dental pain.
    "
TRICLABENDAZOLE,"Benzimidazole antiplatyhelmintic agent that is used for the treatment of FASCIOLIASIS and PARAGONIMIASIS.
    "
TIRAPAZAMINE,"A triazine derivative that introduces breaks into DNA strands in hypoxic cells, sensitizing tumor cells to the cytotoxic activity of other drugs and radiation.
    "
SITTING,"Putting the weight of the body,  against the ground or a horizontal object such as a chair seat.
    "
TELBIVUDINE,"A thymidine derivative and antiviral agent that inhibits DNA synthesis by HEPATITIS B VIRUS and is used for the treatment of CHRONIC HEPATITIS B.
    "
NATEGLINIDE,"A phenylalanine and cyclohexane derivative that acts as a hypoglycemic agent by stimulating the release of insulin from the pancreas. It is used in the treatment of TYPE 2 DIABETES.
    "
AFATINIB,"A quinazoline and butenamide derivative that acts as a tyrosine kinase inhibitor of epidermal growth factor receptors (ERBB RECEPTORS) and is used in the treatment of metastatic NON-SMALL CELL LUNG CANCER.
    "
CEFTIBUTEN,"A cephalosporin antibacterial agent that is used in the treatment of infections, including urinary-tract and respiratory-tract infections.
    "
CEFEPIME,"A fourth-generation cephalosporin antibacterial agent that is used in the treatment of infections, including those of the abdomen, urinary tract, respiratory tract, and skin. It is effective against PSEUDOMONAS AERUGINOSA and may also be used in the empiric treatment of FEBRILE NEUTROPENIA.
    "
DORIPENEM,"A carbapenem derivative antibacterial agent that is more stable to renal dehydropeptidase I than IMIPENEM, but does not need to be given with an enzyme inhibitor such as CILASTATIN. It is used in the treatment of infections such as HOSPITAL-ACQUIRED PNEUMONIA, and complicated intra-abdominal or urinary-tract infections, including PYELONEPHRITIS.
    "
ERTAPENEM,"A carbapenem derivative antibacterial agent that is more stable to renal dehydropeptidase I than IMIPENEM, but does not need to be given with an enzyme inhibitor such as CILASTATIN. It is used in the treatment of Gram-positive and Gram-negative bacterial infections including intra-abdominal infections, acute gynecological infections, complicated urinary tract infections, skin infections, and respiratory tract infections. It is also used to prevent infection in colorectal surgery.
    "
MEROPENEM,"A thienamycin derivative antibacterial agent that is more stable to renal dehydropeptidase I than IMIPENEM, but does not need to be given with an enzyme inhibitor such as CILASTATIN. It is used in the treatment of bacterial infections, including infections in immunocompromised patients.
    "
FIDAXOMICIN,"A narrow-spectrum macrolide antibacterial agent that is used in the treatment of diarrhea associated with CLOSTRIDIUM DIFFICILE INFECTION.
    "
GATIFLOXACIN,"A fluoroquinolone antibacterial agent and DNA TOPOISOMERASE II inhibitor that is used as an ophthalmic solution for the treatment of BACTERIAL CONJUNCTIVITIS.
    "
GEMIFLOXACIN,"A naphthyridine and fluoroquinolone derivative antibacterial agent and DNA TOPOISOMERASE II inhibitor that is used for the treatment of community-acquired pneumonia and acute bacterial infections associated with chronic bronchitis.
    "
PROCALCITONIN,"A peptide prohormone precursor of CALCITONIN. It is normally present at low levels in serum, but is released into the bloodstream, primarily from neuroendocrine cells in the lungs and intestines, in response to INFLAMMATION and BACTERIAL INFECTIONS. It is a diagnostic marker for BACTEREMIA.
    "
DRONEDARONE,"A non-iodinated derivative of amiodarone that is used for the treatment of ARRHYTHMIA.
    "
PANOBINOSTAT,"An indole and hydroxamic acid derivative that acts as a HISTONE DEACETYLASE inhibitor. It is used as an antineoplastic agent in combination with BORTEZOMIB and DEXAMETHASONE for the treatment of MULTIPLE MYELOMA.
    "
CICLOPIROX,"A cyclohexane and pyridinone derivative that is used for the treatment of fungal infections of the skin and nails, and for treatment of VAGINAL YEAST INFECTIONS.
    "
RILMENIDINE,"Oxazole derivative that acts as an agonist for ALPHA-2 ADRENERGIC RECEPTORS and IMIDAZOLINE RECEPTORS. It is used in the treatment of HYPERTENSION.
    "
AMIFAMPRIDINE,"4-Aminopyridine derivative that acts as a POTASSIUM CHANNEL blocker to increase release of ACETYLCHOLINE from nerve terminals. It is used in the treatment of CONGENITAL MYASTHENIC SYNDROMES.
    "
METHANTHELINE,"A quaternary ammonium compound that acts as an antimuscarinic agent. It has been used in the treatment of PEPTIC ULCER, in gastrointestinal disorders associated with smooth muscle spasm, and in the management of urinary incontinence, and may also be used for the treatment of HYPERHIDROSIS.
    "
MYOPERICYTOMA,"Rare myofibroma-like perivascular soft tissue tumor, usually benign, characterized by concentric perivascular proliferation.
    "
PLASTINATION,"Preservation technique in which epoxy polymers are used to preserve tissue or an organ resulting in anatomically authentic dry specimens often used in teaching of anatomy.
    "
AXITINIB,"A benzamide and indazole derivative that acts as a TYROSINE KINASE inhibitor of the VASCULAR ENDOTHELIAL GROWTH FACTOR RECEPTOR. It is used in the treatment of advanced RENAL CELL CARCINOMA.
    "
TENECTEPLASE,"A tissue plasminogen activator enzyme that acts as a fibrinolytic agent; it is used for the dissolution of blood clots, such as those that occur in acute MYOCARDIAL INFARCTION.
    "
TORSEMIDE,"A pyridine and sulfonamide derivative that acts as a sodium-potassium chloride symporter inhibitor (loop diuretic). It is used for the treatment of EDEMA associated with CONGESTIVE HEART FAILURE; CHRONIC RENAL INSUFFICIENCY; and LIVER DISEASES. It is also used for the management of HYPERTENSION.
    "
LIPOABDOMINOPLASTY,"Aesthetic surgical treatment of the abdominal region using LIPOSUCTION associated with ABDOMINOPLASTY.
    "
HOMOHARRINGTONINE,"Semisynthetic derivative of harringtonine that acts as a protein synthesis inhibitor and induces APOPTOSIS in tumor cells. It is used in the treatment of MYELOID LEUKEMIA, CHRONIC.
    "
CLOFARABINE,"An adenine arabinonucleoside derivative that acts as an antineoplastic antimetabolite. It is used in the treatment of ACUTE LYMPHOID LEUKEMIA in pediatric patients who have relapsed.
    "
TOLCAPONE,"A benzophenone and nitrophenol compound that acts as an inhibitor of CATECHOL O-METHYLTRANSFERASE, an enzyme involved in the metabolism of DOPAMINE and LEVODOPA. It is used in the treatment of PARKINSON DISEASE in patients for whom levodopa is ineffective or contraindicated.
    "
ATRASENTAN,"A pyrrolidine and benzodioxole derivative that acts a RECEPTOR, ENDOTHELIN A antagonist. It has therapeutic potential as an antineoplastic agent and for the treatment of DIABETIC NEPHROPATHIES.
    "
THIAMETHOXAM,"A nitro-oxazine and thiazole derivative that is used as a broad spectrum neonicotinoid insecticide.
    "
PALONOSETRON,"Isoquinoline and quinuclidine derivative that acts as a 5-HT3 RECEPTOR antagonist. It is used in the prevention of nausea and vomiting induced by cytotoxic chemotherapy, and for the prevention of post-operative nausea and vomiting.
    "
ALEFACEPT,"A recombinant human fusion protein of LFA-3 antigen and immunoglobulin IGG1 that binds to CD2 ANTIGENS on memory T-LYMPHOCYTES, preventing their activation and proliferation. It is used in the management of moderate to severe chronic plaque PSORIASIS.
    "
LEUCANTHEMUM,"A genus of flowering plants in the family ASTERACEAE, mainly distributed in southern and central Europe, and on other continents as introduced species. Leucanthemum species include annuals and perennials grown for their daisy flowers, which are usually gleaming white with yellow centers.
    "
AEGILOPS,"A genus of grasses known generally as goatgrasses, presumed to be wild ancestors of domestic WHEAT. They belong to the grass family, POACEAE, and are distributed widely in Eurasia and North America.
    "
LUMEFANTRINE,"A fluorene derivative that is used in combination with ARTEMETHER for the treatment of MALARIA (see ARTEMETHER-LUMEFANTRINE DRUG COMBINATION).
    "
TAZOBACTAM,"A penicillanic acid and sulfone derivative and potent BETA-LACTAMASE inhibitor that enhances the activity of other anti-bacterial agents against beta-lactamase producing bacteria.
    "
OXINDOLES,"Benzopyrroles with the nitrogen at the number one carbon adjacent to the benzyl and a carbonyl at the pyrrole ring typically at the 2-position.
    "
TINZAPARIN,"A low-molecular-weight heparin with anticoagulant properties that is used in the prevention and treatment of VENOUS THROMBOEMBOLISM, and to prevent clotting during EXTRACORPOREAL CIRCULATION.
    "
LENOGRASTIM,"A recombinant granulocyte colony-stimulating factor that is used to treat or prevent NEUTROPENIA in patients receiving myelosuppressive cancer chemotherapy, for the preparation and collection of blood progenitor cells in PERIPHERAL BLOOD STEM CELL TRANSPLANTATION; and in the treatment of severe congenital neutropenia. Component 1 and Component 2 differ by absence or presence of Neu5Ac in 2-6 linkage to GalNAc side chain.
    "
RIFAXIMIN,"A synthetic rifamycin derivative and anti-bacterial agent that is used for the treatment of GASTROENTERITIS caused by ESCHERICHIA COLI INFECTIONS. It may also be used in the treatment of HEPATIC ENCEPHALOPATHY.
    "
